
TEST CASES
case	period	kol_day	koef	pairings
1	01.01 - 20.01	20	1,02 	3
2	01.01 - 20.01	11	0,86 	3
3	01.01 - 20.01	29	0,95 	3
4	01.01 - 20.01	31	1,01 	3
5	01.01 - 20.01	27	1,02 	3
6	01.01 - 20.01	11	1,03 	3
7	01.01 - 20.01	1	0,8 	3
8	01.01 - 20.01	22	1,01 	3
9	01.01 - 20.01	92	1,07 	3
10	01.01 - 20.01	30	1,02 	3
11	01.01 - 20.01	85	0,93	3
12	01.01 - 20.01	6	1,1 	3
13	01.01 - 20.01	1	0,7	3
14	21.01 - 31.01	20	0,86 	3
15	21.01 - 31.01	11	1,02 	3
16	21.01 - 31.01	29	1,01 	3
17	21.01 - 31.01	31	0,95 	3
18	21.01 - 31.01	27	1,03 	3
19	21.01 - 31.01	11	1,02 	3
20	21.01 - 31.01	1	1,01 	3
21	21.01 - 31.01	22	0,8 	3
22	21.01 - 31.01	92	1,02 	3
23	21.01 - 31.01	30	1,07 	3
24	21.01 - 31.01	85	1,1 	3
25	21.01 - 31.01	6	0,93	3
26	21.01 - 31.01	1	1,02 	2
27	01.02 - 29.02	20	0,95 	3
28	01.02 - 29.02	11	1,01 	3
29	01.02 - 29.02	29	1,02 	3
30	01.02 - 29.02	31	0,86 	3
31	01.02 - 29.02	27	0,8 	3
32	01.02 - 29.02	11	1,01 	3
33	01.02 - 29.02	1	1,02 	3
34	01.02 - 29.02	22	1,03 	3
35	01.02 - 29.02	92	0,93	3
36	01.02 - 29.02	30	1,1 	3
37	01.02 - 29.02	85	1,07 	3
38	01.02 - 29.02	6	1,02 	3
39	01.02 - 29.02	1	0,86 	2
40	01.03 - 31.03	20	1,01 	3
41	01.03 - 31.03	11	0,95 	3
42	01.03 - 31.03	29	0,86 	3
43	01.03 - 31.03	31	1,02 	3
44	01.03 - 31.03	27	1,01 	3
45	01.03 - 31.03	11	0,8 	3
46	01.03 - 31.03	1	1,03 	3
47	01.03 - 31.03	22	1,02 	3
48	01.03 - 31.03	92	1,1 	3
49	01.03 - 31.03	30	0,93	3
50	01.03 - 31.03	85	1,02 	3
51	01.03 - 31.03	6	1,07 	3
52	01.03 - 31.03	1	0,95 	2
53	01.04 - 27.04	20	1,02 	3
54	01.04 - 27.04	11	1,03 	3
55	01.04 - 27.04	29	0,8 	3
56	01.04 - 27.04	31	1,01 	3
57	01.04 - 27.04	27	1,02 	3
58	01.04 - 27.04	11	0,86 	3
59	01.04 - 27.04	1	0,95 	3
60	01.04 - 27.04	22	1,01 	3
61	01.04 - 27.04	92	0,7	3
62	01.04 - 27.04	30	1,02 	2
63	01.04 - 27.04	85	0,86 	2
64	01.04 - 27.04	6	0,95 	2
65	01.04 - 27.04	1	1,07 	3
66	28.04 - 08.05	20	1,03 	3
67	28.04 - 08.05	11	1,02 	3
68	28.04 - 08.05	29	1,01 	3
69	28.04 - 08.05	31	0,8 	3
70	28.04 - 08.05	27	0,86 	3
71	28.04 - 08.05	11	1,02 	3
72	28.04 - 08.05	1	1,01 	3
73	28.04 - 08.05	22	0,95 	3
74	28.04 - 08.05	92	1,02 	2
75	28.04 - 08.05	30	0,7	3
76	28.04 - 08.05	85	0,95 	2
77	28.04 - 08.05	6	0,86 	2
78	28.04 - 08.05	1	1,02 	3
79	09.05	20	0,8 	3
80	09.05	11	1,01 	3
81	09.05	29	1,02 	3
82	09.05	31	1,03 	3
